venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,correct,reason
FSE 2025,Automated Trustworthiness Oracle Generation for Machine Learning Text Classifiers,"Machine learning (ML) for text classification has been widely used in various domains, such as toxicity detection, chatbot consulting, and review analysis. These applications can significantly impact ethics, economics, and human behavior, raising serious concerns about trusting ML decisions. Several studies indicate that traditional uncertainty metrics, such as model confidence, and performance metrics, like accuracy, are insufficient to build human trust in ML models. These models often learn spurious correlations during training and predict based on them during inference. When deployed in the real world, where such correlations are absent, their performance can deteriorate significantly. To avoid this, a common practice is to test whether predictions are made reasonably based on valid patterns in the data. Along with this, a challenge known as the trustworthiness oracle problem has been introduced. So far, due to the lack of automated trustworthiness oracles, the assessment requires manual validation, based on the decision process disclosed by explanation methods. However, this approach is time-consuming, error-prone, and not scalable. To address this problem, we propose TOKI, the first automated trustworthiness oracle generation method for text classifiers. TOKI automatically checks whether the words contributing the most to a prediction are semantically related to the predicted class. Specifically, we leverage ML explanation methods to extract the decision-contributing words and measure their semantic relatedness with the class based on word embeddings. As a demonstration of its practical usefulness, we also introduce a novel adversarial attack method that targets trustworthiness vulnerabilities identified by TOKI. We compare TOKI with a naive baseline based solely on model confidence. To evaluate their alignment with human judgement, experiments are conducted on human-created ground truths of approximately 8,000 predictions. Additionally, we compare the effectiveness of TOKI-guided adversarial attack method with A2T, a state-of-the-art adversarial attack method for text classification. Results show that (1) relying on prediction uncertainty metrics, such as model confidence, cannot effectively distinguish between trustworthy and untrustworthy predictions, (2) TOKI achieves 142% higher accuracy than the naive baseline, and (3) TOKI-guided adversarial attack method is more effective with fewer perturbations than A2T.",10.1145/3729376,False,The paper does not mine software repositories; it evaluates ML text classifiers using human-created ground truths and adversarial attacks.,False,none,The paper does not employ causal inference methods or make explicit causal claims; it focuses on measuring semantic relatedness and comparing accuracy/effectiveness metrics.,False,"The paper proposes a new method (TOKI) for automated trustworthiness oracle generation and evaluates it experimentally, making it a technique paper with empirical evaluation rather than a purely empirical SE study investigating software engineering phenomena.",yes,
ASE 2019,"Discovering, Explaining and Summarizing Controversial Discussions in Community Q&#38;A Sites","Developers often look for solutions to programming problems in community Q&A sites like Stack Overflow. Due to the crowdsourcing nature of these Q&A sites, many user-provided answers are wrong, less optimal or out-of-date. Relying on community-curated quality indicators (e.g., accepted answer, answer vote) cannot reliably identify these answer problems. Such problematic answers are often criticized by other users. However, these critiques are not readily discoverable when reading the posts. In this paper, we consider the answers being criticized and their critique posts as controversial discussions in community Q&A sites. To help developers notice such controversial discussions and make more informed choices of appropriate solutions, we design an automatic open information extraction approach for systematically discovering and summarizing the controversies in Stack Overflow and exploiting official API documentation to assist the understanding of the discovered controversies. We apply our approach to millions of java/android-tagged Stack overflow questions and answers and discover a large scale of controversial discussions in Stack Overflow. Our manual evaluation confirms that the extracted controversy information is of high accuracy. A user study with 18 developers demonstrates the usefulness of our generated controversy summaries in helping developers avoid the controversial answers and choose more appropriate solutions to programming questions.",10.1109/ASE.2019.00024,True,The paper mines millions of Java/Android-tagged Stack Overflow questions and answers to discover and analyze controversial discussions in a community Q&A repository.,False,none,"The paper describes discovering, extracting, and summarizing controversies and evaluates usefulness, but does not make causal claims or use causal inference methods.",True,"The paper conducts manual evaluation and a user study with 18 developers to assess the accuracy and usefulness of their approach, collecting and analyzing both quantitative and qualitative data.",yes,
ASE 2018,Estimating the number of remaining links in traceability recovery (journal-first abstract),"Although very important in software engineering, establishing traceability links between software artifacts is extremely tedious, error-prone, and it requires significant effort. Even when approaches for automated traceability recovery exist, these provide the requirements analyst with a, usually very long, ranked list of candidate links that needs to be manually inspected. In this paper we introduce an approach called Estimation of the Number of Remaining Links (ENRL) which aims at estimating, via Machine Learning (ML) classifiers, the number of remaining positive links in a ranked list of candidate traceability links produced by a Natural Language Processing techniques-based recovery approach. We have evaluated the accuracy of the ENRL approach by considering several ML classifiers and NLP techniques on three datasets from industry and academia, and concerning traceability links among different kinds of software artifacts including requirements, use cases, design documents, source code, and test cases. Results from our study indicate that: (i) specific estimation models are able to provide accurate estimates of the number of remaining positive links; (ii) the estimation accuracy depends on the choice of the NLP technique, and (iii) univariate estimation models outperform multivariate ones.",10.1145/3238147.3241982,False,"The paper analyzes traceability links between software artifacts but does not mine software repositories such as version control systems, issue trackers, or code review systems.",False,none,The paper reports on estimation accuracy and comparative performance of different models and techniques without making causal claims or using causal inference methods.,True,"The paper evaluates the accuracy of the ENRL approach using several ML classifiers and NLP techniques on three datasets from industry and academia, collecting and analyzing quantitative data on estimation accuracy.",yes,
ASE 2022,FuzzerAid: Grouping Fuzzed Crashes Based On Fault Signatures,"Fuzzing has been an important approach for finding bugs and vulnerabilities in programs. Many fuzzers deployed in industry run daily and can generate an overwhelming number of crashes. Diagnosing such crashes can be very challenging and time-consuming. Existing fuzzers typically employ heuristics such as code coverage or call stack hashes to weed out duplicate reporting of bugs. While these heuristics are cheap, they are often imprecise and end up still reporting many “unique” crashes corresponding to the same bug. In this paper, we present FuzzerAid that uses fault signatures to group crashes reported by the fuzzers. Fault signature is a small executable program and consists of a selection of necessary statements from the original program that can reproduce a bug. In our approach, we first generate a fault signature using a given crash. We then execute the fault signature with other crash inducing inputs. If the failure is reproduced, we classify the crashes into the group labeled with the fault signature; if not, we generate a new fault signature. After all the crash inducing inputs are classified, we further merge the fault signatures of the same root cause into a group. We implemented our approach in a tool called FuzzerAid and evaluated it on 3020 crashes generated from 15 real-world bugs and 4 large open source projects. Our evaluation shows that we are able to correctly group 99.1% of the crashes and reported only 17 (+2) “unique” bugs, outperforming the state-of-the-art fuzzers.",10.1145/3551349.3556959,False,The paper does not mine software repositories; it analyzes crashes generated by fuzzers on open source programs.,False,none,The paper does not make causal claims or use causal inference methods; it focuses on grouping crashes by fault signatures.,False,"The paper proposes a new tool (FuzzerAid) with an empirical evaluation on crashes from open source projects, making it a technique paper with evaluation rather than a purely empirical SE study.",yes,
ASE 2025,BenGQL: An Extensible Benchmarking Framework for Automated GraphQL Testing,"GraphQL APIs provide a unified endpoint for retrieving and uploading data in a web application. Due to its efficient data-fetching strategy, which allows for the retrieval of only the required data, GraphQL is gaining popularity. Its software nature necessitates robust testing, both functional and non-functional. As automated testing tools, including load testers and fuzzers, are developed to assess GraphQL APIs, they lack a common set of case studies for rigorous evaluation and comparison.To address this gap, we present BenGQL, a benchmarking framework containing 23 representative open-source GraphQL server applications, spanning different underlying engines and schema complexities. BenGQL provides an extensible infrastructure for running testing tools against these case studies, enabling developers and researchers to: (i) execute testing tools against the same case studies, (ii) analyse and compare results using custom analysis modules, and (iii) extend the benchmark with new case studies, tools, or metrics.The ultimate goal of BenGQL is to foster more rigorous, reproducible research in automated GraphQL testing by providing both the case studies and the infrastructure for running experiments. As a consequence, we release the source code at https://github.com/marcellomaugeri/BenGQL, inviting other researchers to contribute. A video demonstration is also available at https://youtu.be/wZ06Xxa_Koo.",10.1109/ASE63991.2025.00376,False,The paper does not mine software repositories to discover empirical insights; it curates open-source applications as case studies for a benchmarking framework.,False,none,The paper does not make causal claims or use causal inference methods; it describes a framework for enabling reproducible benchmarking.,False,The paper presents a benchmarking framework (BenGQL) as a tool/infrastructure contribution rather than collecting and analyzing data to investigate a software engineering phenomenon.,yes,
FSE 2015,UMTG: a toolset to automatically generate system test cases from use case specifications,"We present UMTG, a toolset for automatically generating executable and traceable system test cases from use case specifications. UMTG employs Natural Language Processing (NLP), a restricted form of use case specifications, and constraint solving. Use cases are expected to follow a template with restriction rules that reduce imprecision and enable NLP. NLP is used to capture the control flow implicitly described in use case specifications. Finally, to generate test input, constraint solving is applied to OCL constraints referring to the domain model of the system. UMTG is integrated with two tools that are widely adopted in industry, IBM Doors and Rhapsody. UMTG has been successfully evaluated on an industrial case study.",10.1145/2786805.2803187,False,The paper does not involve mining software repositories; it focuses on generating test cases from use case specifications.,False,none,The paper does not make causal claims or use causal inference methods; it describes a tool and its evaluation.,False,"The paper presents a toolset (UMTG) for automatically generating test cases, and while it mentions an industrial case study evaluation, the primary contribution is the tool/technique itself rather than an empirical investigation of a software engineering phenomenon.",yes,
ICSE 2022,APER: Evolution-Aware Runtime Permission Misuse Detection for Android Apps,"The Android platform introduces the runtime permission model in version 6.0. The new model greatly improves data privacy and user experience, but brings new challenges for app developers. First, it allows users to freely revoke granted permissions. Hence, developers cannot assume that the permissions granted to an app would keep being granted. Instead, they should make their apps carefully check the permission status before invoking dangerous APIs. Second, the permission specification keeps evolving, bringing new types of compatibility issues into the ecosystem. To understand the impact of the challenges, we conducted an empirical study on 13,352 popular Google Play apps. We found that 86.0% apps used dangerous APIs asynchronously after permission management and 61.2% apps used evolving dangerous APIs. If an app does not properly handle permission revocations or platform differences, unexpected runtime issues may happen and even cause app crashes. We call such Android Runtime Permission issues as ARP bugs. Unfortunately, existing runtime permission issue detection tools cannot effectively deal with the ARP bugs induced by asynchronous permission management and permission specification evolution. To fill the gap, we designed a static analyzer, Aper, that performs reaching definition and dominator analysis on Android apps to detect the two types of ARP bugs. To compare Aper with existing tools, we built a benchmark, ARPFIX, from 60 real ARP bugs. Our experiment results show that Aper significantly outperforms two academic tools, ARPDROID and Revdroid, and an industrial tool, Lint, on ARPFIX, with an average improvement of 46.3% on F1-score. In addition, Aper successfully found 34 ARP bugs in 214 open-source Android apps, most of which can result in abnormal app behaviors (such as app crashes) according to our manual validation. We reported these bugs to the app developers. So far, 17 bugs have been confirmed and seven have been fixed.",10.1145/3510003.3510074,False,"Although the paper analyzes apps from Google Play and open-source repositories, the primary focus is on proposing and evaluating a static analysis tool rather than mining repositories for empirical insights about software development.",False,none,The paper does not employ causal inference methods or make explicit causal claims; it describes conditions that may lead to bugs but does not frame these as causal analyses.,False,"While the paper includes an empirical study component on 13,352 apps, its primary contribution is the design and evaluation of a new static analysis tool (Aper) for detecting ARP bugs, making it a tool/technique paper with empirical evaluation rather than an empirical SE paper.",yes,
ICSE 2025,Cooperative Software Verification via Dynamic Program Splitting,"Cooperative software verification divides the task of software verification among several verification tools in order to increase efficiency and effectiveness. The basic approach is to let verifiers work on different parts of a program and at the end join verification results. While this idea is intuitively appealing, cooperative verification is usually hindered by the fact that program decomposition (1) is often static, disregarding strengths and weaknesses of employed verifiers, and (2) often represents the decomposed program parts in a specific proprietary format, thereby making the use of off-the-shelf verifiers in cooperative verification difficult. In this paper, we propose a novel cooperative verification scheme that we call dynamic program splitting (DPS). Splitting decomposes programs into (smaller) programs, and thus directly enables the use of off-the-shelf tools. In DPS, splitting is dynamically applied on demand: Verification starts by giving a verification task (a program plus a correctness specification) to a verifier $V_{1}$. Whenever $V_{1}$ finds the current task to be hard to verify, it splits the task (i.e., the program) and restarts verification on subtasks. DPS continues until (1) a violation is found, (2) all subtasks are completed or (3) some user-defined stopping criterion is met. In the latter case, the remaining uncompleted subtasks are merged into a single one and are given to a next verifier $V_{2}$, repeating the same procedure on the still unverified program parts. This way, the decomposition is steered by what is hard to verify for particular verifiers, leveraging their complementary strengths. We have implemented dynamic program splitting and evaluated it on benchmarks of the annual software verification competition SV-COMP. The evaluation shows that cooperative verification with DPS is able to solve verification tasks that none of the constituent verifiers can solve, without any significant overhead.",10.1109/ICSE55347.2025.00092,False,The paper does not mine software repositories; it evaluates a verification technique on competition benchmarks.,False,none,The paper does not make causal claims or use causal inference methods; it describes and evaluates a technique.,False,"The paper proposes a novel cooperative verification technique (DPS) and evaluates it on SV-COMP benchmarks; this is a technique paper with an empirical evaluation, not an empirical SE study investigating software engineering phenomena.",yes,
ASE 2018,node2defect: using network embedding to improve software defect prediction,"Network measures have been proved to be useful in predicting software defects. Leveraging the dependency relationships between software modules, network measures can capture various structural features of software systems. However, existing studies have relied on user-defined network measures (e.g., degree statistics or centrality metrics), which are inflexible and require high computation cost, to describe the structural features. In this paper, we propose a new method called node2defect which uses a newly proposed network embedding technique, node2vec, to automatically learn to encode dependency network structure into low-dimensional vector spaces to improve software defect prediction. Specifically, we firstly construct a program's Class Dependency Network. Then node2vec is used to automatically learn structural features of the network. After that, we combine the learned features with traditional software engineering features, for accurate defect prediction. We evaluate our method on 15 open source programs. The experimental results show that in average, node2defect improves the state-of-the-art approach by 9.15% in terms of F-measure.",10.1145/3238147.3240469,True,The paper mines software repositories of 15 open source programs to extract class dependency networks and software engineering features for defect prediction.,False,none,The paper focuses on prediction performance and does not make causal claims or use causal inference methods.,True,"The paper evaluates the proposed node2defect method on 15 open source programs, collecting and analyzing quantitative data (F-measure) to assess defect prediction performance.",yes,
ICSE 2024,PonziGuard: Detecting Ponzi Schemes on Ethereum with Contract Runtime Behavior Graph (CRBG),"Ponzi schemes, a form of scam, have been discovered in Ethereum smart contracts in recent years, causing massive financial losses. Rule-based detection approaches rely on predefined rules with limited capabilities and domain knowledge dependency. Additionally, using static information like opcodes and transactions for machine learning models fails to effectively characterize the Ponzi contracts, resulting in poor reliability and interpretability. In this paper, we propose PonziGuard, an efficient Ponzi scheme detection approach based on contract runtime behavior. Inspired by the observation that a contract's runtime behavior is more effective in disguising Ponzi contracts from the innocent contracts, Ponzi-Guard establishes a comprehensive graph representation called contract runtime behavior graph (CRBG), to accurately depict the behavior of Ponzi contracts. Furthermore, it formulates the detection process as a graph classification task, enhancing its overall effectiveness. We conducted comparative experiments on a ground-truth dataset and applied PonziGuard to Ethereum Mainnet. The results show that PonziGuard outperforms the current state-of-the-art approaches and is also effective in open environments. Using PonziGuard, we have identified 805 Ponzi contracts on Ethereum Mainnet, which have resulted in an estimated economic loss of 281,700 Ether or approximately $500 million USD.",10.1145/3597503.3623318,False,"While the paper analyzes Ethereum smart contract data, its primary contribution is a detection technique rather than mining repositories to discover empirical insights about software development.",False,none,The paper does not make causal claims or use causal inference methods; it focuses on classification performance for detecting Ponzi schemes.,False,The paper proposes a new tool/technique (PonziGuard) for detecting Ponzi schemes and evaluates it experimentally; this is a technique paper with an empirical evaluation rather than an empirical SE study investigating software engineering phenomena.,yes,
