venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,causal_method_class,correct,reason,causal_method_class_corrected
ASE 2025,It's Not Easy Being Green: On the Energy Efficiency of Programming Languages,"Does the choice of programming language affect energy consumption? Previous highly visible studies have established associations between certain programming languages and energy consumption. A causal misinterpretation of this work has led academics and industry leaders to use or support certain languages based on their claimed impact on energy consumption. This paper tackles this causal question directly: it develops a detailed causal model capturing the complex relationship between programming language choice and energy consumption. This model identifies and incorporates several critical but previously overlooked factors that affect energy usage. These factors, such as distinguishing programming languages from their implementations, the impact of the application implementations themselves, the number of active cores, and memory activity, can significantly skew energy consumption measurements if not accounted for. We show—via empirical experiments, improved methodology, and careful examination of anomalies—that when these factors are controlled for, notable discrepancies in prior work vanish. Our analysis suggests that the choice of programming language implementation has no significant impact on energy consumption beyond execution time.",10.1109/ASE63991.2025.00131,False,The paper does not mine software repositories; it conducts controlled experiments measuring energy consumption of programming language implementations.,True,both,"The paper explicitly develops a causal model (causal DAG) to analyze the relationship between programming language choice and energy consumption, critiques causal misinterpretations of prior work, and makes causal claims such as 'the choice of programming language implementation has no significant impact on energy consumption beyond execution time.'",True,"The paper conducts empirical experiments to measure energy consumption across programming languages while controlling for confounding factors, and analyzes discrepancies in prior work.",Causal Graph / DAG; Regression-based Causal Inference,yes,,Causal Graph / DAG; Regression-based Causal Inference
ASE 2025,Kair: A Statistical and Causal Approach to Pinpointing Stragglers in Distributed Model Training,"The distributed deep learning training process within large-scale clusters serves as the foundation of contemporary artificial intelligence. However, its inherent characteristics make it particularly sensitive to stragglers, specifically the presence of slow workers, which can significantly decelerate the entire procedure. Observability tools are essential for identifying stragglers within systems. However, the prevailing system profiling tools are either designed for single-node analysis, lacking visibility across multiple workers, or they recognize stragglers but only deliver high-level symptoms, providing engineers with insufficient insight into the underlying causes.We design Kair, a robust production-standard observability tool. Kair uses an innovative hierarchical approach, transitioning from statistical anomaly detection to causal inference. It employs Kolmogorov-Smirnov statistics for the identification of statistically anomalous workers and implements a causal path tracing algorithm to accurately determine the specific operations, such as computation or communication, that are responsible for the delay. Kair has been evaluated in a production cluster of 2,048 NVIDIA A800 GPUs and demonstrated high effectiveness in detecting latent stragglers at the framework level that are often overlooked by conventional tools. It offers precise suggestions that markedly reduce processing inefficiencies and engineering workload.",10.1109/ASE63991.2025.00311,False,The paper does not mine software repositories; it analyzes runtime performance data from distributed training clusters.,True,method,"The paper explicitly uses causal inference methods, including a causal path tracing algorithm, to determine the specific operations responsible for delays.",False,"The paper proposes a tool (Kair) with an evaluation in a production cluster, making it a tool/technique paper with empirical evaluation rather than a primarily empirical SE study.",Causal Graph / DAG; Causal Fault Localization,yes,,Causal Graph / DAG; Causal Fault Localization
FSE 2015,Quality and productivity outcomes relating to continuous integration in GitHub,"Software processes comprise many steps; coding is followed by building, integration testing, system testing, deployment, operations, among others. Software process integration and automation have been areas of key concern in software engineering, ever since the pioneering work of Osterweil; market pressures for Agility, and open, decentralized, software development have provided additional pressures for progress in this area. But do these innovations actually help projects? Given the numerous confounding factors that can influence project performance, it can be a challenge to discern the effects of process integration and automation. Software project ecosystems such as GitHub provide a new opportunity in this regard: one can readily find large numbers of projects in various stages of process integration and automation, and gather data on various influencing factors as well as productivity and quality outcomes. In this paper we use large, historical data on process metrics and outcomes in GitHub projects to discern the effects of one specific innovation in process automation: continuous integration. Our main finding is that continuous integration improves the productivity of project teams, who can integrate more outside contributions, without an observable diminishment in code quality.",10.1145/2786805.2786850,True,The paper mines data from GitHub repositories to analyze process metrics and outcomes related to continuous integration practices.,True,both,"The paper explicitly aims to 'discern the effects of' continuous integration while acknowledging 'confounding factors,' and makes causal claims such as 'continuous integration improves the productivity of project teams,' suggesting both causal inference methodology and causal language.",True,The paper collects and analyzes large historical data from GitHub projects to investigate the effects of continuous integration on productivity and quality outcomes.,Regression-based Causal Inference,yes,,Regression-based Causal Inference
FSE 2015,Developer onboarding in GitHub: the role of prior social links and language experience,"The team aspects of software engineering have been a subject of great interest since early work by Fred Brooks and others: how well do people work together in teams? why do people join teams? what happens if teams are distributed? Recently, the emergence of project ecosystems such as GitHub have created an entirely new, higher level of organization. GitHub supports numerous teams; they share a common technical platform (for work activities) and a common social platform (via following, commenting, etc). We explore the GitHub evidence for socialization as a precursor to joining a project, and how the technical factors of past experience and social factors of past connections to team members of a project affect productivity both initially and in the long run. We find developers preferentially join projects in GitHub where they have pre-existing relationships; furthermore, we find that the presence of past social connections combined with prior experience in languages dominant in the project leads to higher productivity both initially and cumulatively. Interestingly, we also find that stronger social connections are associated with slightly less productivity initially, but slightly more productivity in the long run.",10.1145/2786805.2786854,True,"The paper mines GitHub repositories and social platform data (following, commenting, project membership) to discover insights about developer joining behavior and productivity.",True,both,"The paper makes causal claims such as 'social connections combined with prior experience leads to higher productivity' and 'stronger social connections are associated with slightly less productivity initially,' and investigates how factors 'affect productivity,' implying causal relationships; the study design examines precursors and effects suggestive of causal reasoning.",True,The paper empirically analyzes GitHub data to investigate how prior social links and language experience affect developer onboarding and productivity.,Regression-based Causal Inference,yes,,Regression-based Causal Inference
FSE 2015,Impact of developer turnover on quality in open-source software,"Turnover is the phenomenon of continuous influx and retreat of human resources in a team. Despite being well-studied in many settings, turnover has not been characterized for open-source software projects. We study the source code repositories of five open-source projects to characterize patterns of turnover and to determine the effects of turnover on software quality. We define the base concepts of both external and internal turnover, which are the mobility of developers in and out of a project, and the mobility of developers inside a project, respectively. We provide a qualitative analysis of turnover patterns. We also found, in a quantitative analysis, that the activity of external newcomers negatively impact software quality.",10.1145/2786805.2786870,True,The paper mines source code repositories of open-source projects to extract developer activity data and analyze turnover patterns and their relationship to software quality.,True,both,"The paper makes causal claims such as 'external newcomers negatively impact software quality' and 'effects of turnover on software quality,' and studies the causal relationship between turnover and quality through quantitative analysis.",True,The paper studies source code repositories of five open-source projects to characterize turnover patterns and quantitatively determine the effects of turnover on software quality.,Regression-based Causal Inference,yes,,Regression-based Causal Inference
FSE 2016,Building a socio-technical theory of coordination: why and how (outstanding research award),"Research aimed at understanding and addressing coordination breakdowns experienced in global software development (GSD) projects at Lucent Technologies took a path from open-ended qualitative exploratory studies to quantitative studies with a tight focus on a key problem – delay – and its causes. Rather than being directly associated with delay, multi-site work items involved more people than comparable same-site work items, and the number of people was a powerful predictor of delay. To counteract this, we developed and deployed tools and practices to support more effective communication and expertise location. After conducting two case studies of open source development, an extreme form of GSD, we realized that many tools and practices could be effective for multi-site work, but none seemed to work under all conditions. To achieve deeper insight, we developed and tested our Socio-Technical Theory of Coordination (STTC) in which the dependencies among engineering decisions are seen as defining a constraint satisfaction problem that the organization can solve in a variety of ways. I conclude by explaining how we applied these ideas to transparent development environments, then sketch important open research questions.",10.1145/2950290.2994160,True,"The research involves analyzing data from software development repositories (work items, multi-site development data, open source projects) to understand coordination breakdowns and delays in software engineering.",True,both,"The paper explicitly investigates causes of delay, identifies the number of people as a 'powerful predictor of delay,' and uses causal language such as 'causes' and 'directly associated with delay,' while also developing and testing a theory (STTC) that models dependencies and their effects on coordination.",True,"The paper describes a research program involving qualitative exploratory studies, quantitative studies of delay and its causes, and case studies of open source development, all collecting and analyzing data about coordination in global software development.",Causal Fault Localization,no,"CFL incorrect: paper investigates organizational causes of delay in GSD projects, not software fault localization",Regression-based Causal Inference
FSE 2016,Causal impact analysis for app releases in google play,"App developers would like to understand the impact of their own and their competitors’ software releases. To address this we introduce Causal Impact Release Analysis for app stores, and our tool, CIRA, that implements this analysis. We mined 38,858 popular Google Play apps, over a period of 12 months. For these apps, we identified 26,339 releases for which there was adequate prior and posterior time series data to facilitate causal impact analysis. We found that 33% of these releases caused a statistically significant change in user ratings. We use our approach to reveal important characteristics that distinguish causal significance in Google Play. To explore the actionability of causal impact analysis, we elicited the opinions of app developers: 56 companies responded, 78% concurred with the causal assessment, of which 33% claimed that their company would consider changing its app release strategy as a result of our findings.",10.1145/2950290.2950320,True,"The paper mines Google Play app store data (releases, user ratings time series) to discover empirical insights about the impact of software releases.",True,both,The paper explicitly uses causal impact analysis (a Bayesian structural time-series method) and makes causal claims such as '33% of these releases caused a statistically significant change in user ratings.',True,"The paper mines data from 38,858 Google Play apps over 12 months, performs causal impact analysis on 26,339 releases, and surveys 56 companies, constituting a large-scale empirical study.",Causal Impact Analysis; Regression-based Causal Inference,yes,,Causal Impact Analysis; Regression-based Causal Inference
FSE 2016,Efficiency of projectional editing: a controlled experiment,"Projectional editors are editors where a user's editing actions directly change the abstract syntax tree without using a parser. They promise essentially unrestricted language com position as well as flexible notations, which supports aligning languages with their respective domain and constitutes an essential ingredient of model-driven development. Such editors have existed since the 1980s and gained widespread attention with the Intentional Programming paradigm, which used projectional editing at its core. However, despite the benefits, programming still mainly relies on editing textual code, where projectional editors imply a very different -- typically perceived as worse -- editing experience, often seen as the main challenge prohibiting their widespread adoption. We present an experiment of code-editing activities in a projectional editor, conducted with 19 graduate computer-science students and industrial developers. We investigate the effects of projectional editing on editing efficiency, editing strategies, and error rates -- each of which we also compare to conventional, parser-based editing. We observe that editing is efficient for basic-editing tasks, but that editing strategies and typical errors differ. More complex tasks require substantial experience and a better understanding of the abstract-syntax-tree structure -- then, projectional editing is also efficient. We also witness a tradeoff between fewer typing mistakes and an increased complexity of code editing.",10.1145/2950290.2950315,False,"The study is a controlled experiment with human participants performing editing tasks, not an analysis of data mined from software repositories.",True,both,"The paper uses a controlled experiment (a causal inference method) and makes causal claims about the effects of projectional editing on editing efficiency, strategies, and error rates, including statements like 'we investigate the effects of projectional editing on editing efficiency.'",True,"The paper presents a controlled experiment with 19 participants investigating the effects of projectional editing on efficiency, strategies, and error rates, collecting and analyzing quantitative and qualitative data.",Randomized Controlled Experiment,yes,,Randomized Controlled Experiment
FSE 2017,Understanding misunderstandings in source code,"Humans often mistake the meaning of source code, and so misjudge a program's true behavior. These mistakes can be caused by extremely small, isolated patterns in code, which can lead to significant runtime errors. These patterns are used in large, popular software projects and even recommended in style guides. To identify code patterns that may confuse programmers we extracted a preliminary set of `atoms of confusion' from known confusing code. We show empirically in an experiment with 73 participants that these code patterns can lead to a significantly increased rate of misunderstanding versus equivalent code without the patterns. We then go on to take larger confusing programs and measure (in an experiment with 43 participants) the impact, in terms of programmer confusion, of removing these confusing patterns. All of our instruments, analysis code, and data are publicly available online for replication, experimentation, and feedback.",10.1145/3106237.3106264,False,The paper does not mine software repositories; it conducts controlled experiments with human participants to study code comprehension.,True,both,The paper uses controlled experiments (a causal inference method) and makes causal claims such as 'these code patterns can lead to a significantly increased rate of misunderstanding' and measures 'the impact of removing these confusing patterns.',True,The paper conducts controlled experiments with 73 and 43 human participants to empirically measure the impact of confusing code patterns on programmer understanding.,Randomized Controlled Experiment; Regression-based Causal Inference,yes,,Randomized Controlled Experiment; Regression-based Causal Inference
FSE 2018,Ecosystem-level determinants of sustained activity in open-source projects: a case study of the PyPI ecosystem,"Open-source projects do not exist in a vacuum. They benefit from reusing other projects and themselves are being reused by others, creating complex networks of interdependencies, i.e., software ecosystems. Therefore, the sustainability of projects comprising ecosystems may no longer by determined solely by factors internal to the project, but rather by the ecosystem context as well. In this paper we report on a mixed-methods study of ecosystem-level factors affecting the sustainability of open-source Python projects. Quantitatively, using historical data from 46,547 projects in the PyPI ecosystem, we modeled the chances of project development entering a period of dormancy (limited activity) as a function of the projects' position in their dependency networks, organizational support, and other factors. Qualitatively, we triangulated the revealed effects and further expanded on our models through interviews with project maintainers. Results show that the number of project ties and the relative position in the dependency network have significant impact on sustained project activity, with nuanced effects early in a project's life cycle and later on.",10.1145/3236024.3236062,True,"The study analyzes historical data from the PyPI ecosystem, mining dependency networks and project activity data from a package registry to discover insights about open-source project sustainability.",True,both,"The paper uses language like 'factors affecting sustainability,' 'significant impact on sustained project activity,' and models 'chances of dormancy as a function of' ecosystem-level variables, making causal claims about how dependency network position determines project activity, and employs survival modeling to estimate these effects.",True,"The paper conducts a mixed-methods study combining quantitative analysis of 46,547 PyPI projects and qualitative interviews with maintainers to investigate ecosystem-level factors affecting project sustainability.",Regression-based Causal Inference,yes,,Regression-based Causal Inference
